SIZE_VECTOR,NUM_THREADS,NUM_IFS,AVG5_TIME(s)
4, 16, 2, 0.000067 
4, 16, 3, 0.000063 
4, 16, 4, 0.000066 
4, 16, 5, 0.000065 
4, 16, 6, 0.000067 
4, 16, 7, 0.000069 
4, 16, 8, 0.000069 
4, 16, 9, 0.000066 
4, 16, 10, 0.000072 
4, 32, 0, 0.000125 
4, 32, 1, 0.000127 
4, 32, 2, 0.000125 
4, 32, 3, 0.000130 
4, 32, 4, 0.000130 
4, 32, 5, 0.000128 
4, 32, 6, 0.000127 
4, 32, 7, 0.000131 
4, 32, 8, 0.000134 
4, 32, 9, 0.000128 
4, 32, 10, 0.000134 
4, 64, 0, 0.000260 
4, 64, 1, 0.000263 
4, 64, 2, 0.000262 
4, 64, 3, 0.000265 
4, 64, 4, 0.000258 
4, 64, 5, 0.000257 
4, 64, 6, 0.000264 
4, 64, 7, 0.000262 
4, 64, 8, 0.000262 
4, 64, 9, 0.000266 
4, 64, 10, 0.000265 
4, 128, 0, 0.000516 
4, 128, 1, 0.000510 
4, 128, 2, 0.000516 
4, 128, 3, 0.000515 
4, 128, 4, 0.000525 
4, 128, 5, 0.000518 
4, 128, 6, 0.000512 
4, 128, 7, 0.000510 
4, 128, 8, 0.000619 
4, 128, 9, 0.000514 
4, 128, 10, 0.000551 
4, 256, 0, 0.001033 
4, 256, 1, 0.001031 
4, 256, 2, 0.001047 
4, 256, 3, 0.001039 
4, 256, 4, 0.000998 
4, 256, 5, 0.001034 
4, 256, 6, 0.001029 
4, 256, 7, 0.001027 
4, 256, 8, 0.001032 
4, 256, 9, 0.001034 
4, 256, 10, 0.001050 
4, 512, 0, 0.002075 
4, 512, 1, 0.002037 
4, 512, 2, 0.002059 
4, 512, 3, 0.002027 
4, 512, 4, 0.002058 
4, 512, 5, 0.002054 
4, 512, 6, 0.002124 
4, 512, 7, 0.002054 
4, 512, 8, 0.002042 
4, 512, 9, 0.002054 
4, 512, 10, 0.002059 
4, 1024, 0, 0.004054 
4, 1024, 1, 0.004109 
4, 1024, 2, 0.004085 
4, 1024, 3, 0.004023 
4, 1024, 4, 0.004117 
4, 1024, 5, 0.004052 
4, 1024, 6, 0.004076 
4, 1024, 7, 0.004044 
4, 1024, 8, 0.004067 
4, 1024, 9, 0.004031 
4, 1024, 10, 0.004153 
4, 2048, 0, 0.009012 
4, 2048, 1, 0.009083 
4, 2048, 2, 0.008948 
4, 2048, 3, 0.008945 
4, 2048, 4, 0.009091 
4, 2048, 5, 0.008982 
4, 2048, 6, 0.008986 
4, 2048, 7, 0.009051 
4, 2048, 8, 0.009068 
4, 2048, 9, 0.009042 
4, 2048, 10, 0.009055 
4, 4096, 0, 0.018718 
4, 4096, 1, 0.018640 
4, 4096, 2, 0.018729 
4, 4096, 3, 0.018556 
4, 4096, 4, 0.018392 
4, 4096, 5, 0.018618 
4, 4096, 6, 0.018602 
4, 4096, 7, 0.018809 
4, 4096, 8, 0.018785 
4, 4096, 9, 0.018738 
4, 4096, 10, 0.018789 
4, 8192, 0, 0.037002 
4, 8192, 1, 0.037005 
4, 8192, 2, 0.037379 
4, 8192, 3, 0.037067 
4, 8192, 4, 0.036863 
4, 8192, 5, 0.037126 
4, 8192, 6, 0.036745 
4, 8192, 7, 0.037267 
4, 8192, 8, 0.036693 
4, 8192, 9, 0.037241 
4, 8192, 10, 0.036935 
8, 1, 0, 0.000000 
8, 1, 1, 0.000000 
8, 1, 2, 0.000001 
8, 1, 3, 0.000000 
8, 1, 4, 0.000000 
8, 1, 5, 0.000001 
8, 1, 6, 0.000001 
8, 1, 7, 0.000001 
8, 1, 8, 0.000001 
8, 1, 9, 0.000002 
8, 1, 10, 0.000003 
8, 2, 0, 0.000002 
8, 2, 1, 0.000002 
8, 2, 2, 0.000002 
8, 2, 3, 0.000002 
8, 2, 4, 0.000002 
8, 2, 5, 0.000002 
8, 2, 6, 0.000002 
8, 2, 7, 0.000002 
8, 2, 8, 0.000002 
8, 2, 9, 0.000002 
8, 2, 10, 0.000004 
8, 4, 0, 0.000004 
8, 4, 1, 0.000007 
8, 4, 2, 0.000005 
8, 4, 3, 0.000007 
8, 4, 4, 0.000007 
8, 4, 5, 0.000006 
8, 4, 6, 0.000006 
8, 4, 7, 0.000006 
8, 4, 8, 0.000007 
8, 4, 9, 0.000006 
8, 4, 10, 0.000007 
8, 8, 0, 0.000004 
8, 8, 1, 0.000005 
8, 8, 2, 0.000003 
8, 8, 3, 0.000004 
8, 8, 4, 0.000005 
8, 8, 5, 0.000004 
8, 8, 6, 0.000004 
8, 8, 7, 0.000006 
8, 8, 8, 0.000003 
8, 8, 9, 0.000004 
8, 8, 10, 0.000004 
8, 16, 0, 0.000067 
8, 16, 1, 0.000068 
8, 16, 2, 0.000065 
8, 16, 3, 0.000072 
8, 16, 4, 0.000067 
8, 16, 5, 0.000062 
8, 16, 6, 0.000070 
8, 16, 7, 0.000065 
8, 16, 8, 0.000064 
8, 16, 9, 0.000065 
8, 16, 10, 0.000065 
8, 32, 0, 0.000128 
8, 32, 1, 0.000121 
8, 32, 2, 0.000130 
8, 32, 3, 0.000130 
8, 32, 4, 0.000137 
8, 32, 5, 0.000133 
8, 32, 6, 0.000131 
8, 32, 7, 0.000128 
8, 32, 8, 0.000131 
8, 32, 9, 0.000133 
8, 32, 10, 0.000125 
8, 64, 0, 0.000262 
8, 64, 1, 0.000263 
8, 64, 2, 0.000260 
8, 64, 3, 0.000261 
8, 64, 4, 0.000264 
8, 64, 5, 0.000258 
8, 64, 6, 0.000260 
8, 64, 7, 0.000254 
8, 64, 8, 0.000257 
8, 64, 9, 0.000260 
8, 64, 10, 0.000265 
8, 128, 0, 0.000517 
8, 128, 1, 0.000529 
8, 128, 2, 0.000527 
8, 128, 3, 0.000518 
8, 128, 4, 0.000518 
8, 128, 5, 0.000526 
8, 128, 6, 0.000537 
8, 128, 7, 0.000513 
8, 128, 8, 0.000522 
8, 128, 9, 0.000512 
8, 128, 10, 0.000515 
8, 256, 0, 0.001040 
8, 256, 1, 0.001029 
8, 256, 2, 0.001039 
8, 256, 3, 0.001038 
8, 256, 4, 0.001038 
8, 256, 5, 0.001048 
8, 256, 6, 0.001130 
8, 256, 7, 0.001025 
8, 256, 8, 0.001032 
8, 256, 9, 0.001030 
8, 256, 10, 0.001035 
8, 512, 0, 0.002073 
8, 512, 1, 0.002054 
8, 512, 2, 0.002059 
8, 512, 3, 0.002064 
8, 512, 4, 0.002048 
8, 512, 5, 0.002059 
8, 512, 6, 0.002075 
8, 512, 7, 0.002055 
8, 512, 8, 0.002081 
8, 512, 9, 0.002061 
8, 512, 10, 0.002100 
8, 1024, 0, 0.004022 
8, 1024, 1, 0.004103 
8, 1024, 2, 0.004059 
8, 1024, 3, 0.004050 
8, 1024, 4, 0.004060 
8, 1024, 5, 0.004078 
8, 1024, 6, 0.004069 
8, 1024, 7, 0.004076 
8, 1024, 8, 0.004062 
8, 1024, 9, 0.004078 
8, 1024, 10, 0.003997 
8, 2048, 0, 0.008940 
8, 2048, 1, 0.009131 
8, 2048, 2, 0.009012 
8, 2048, 3, 0.009011 
8, 2048, 4, 0.008956 
8, 2048, 5, 0.008993 
8, 2048, 6, 0.008894 
8, 2048, 7, 0.008997 
8, 2048, 8, 0.008996 
8, 2048, 9, 0.008911 
8, 2048, 10, 0.008903 
8, 4096, 0, 0.018898 
8, 4096, 1, 0.018633 
8, 4096, 2, 0.018480 
8, 4096, 3, 0.018676 
8, 4096, 4, 0.018822 
8, 4096, 5, 0.018848 
8, 4096, 6, 0.018727 
8, 4096, 7, 0.018668 
8, 4096, 8, 0.018842 
8, 4096, 9, 0.018815 
8, 4096, 10, 0.018627 
8, 8192, 0, 0.037144 
8, 8192, 1, 0.036872 
8, 8192, 2, 0.037121 
8, 8192, 3, 0.037154 
8, 8192, 4, 0.036863 
8, 8192, 5, 0.037256 
8, 8192, 6, 0.037345 
8, 8192, 7, 0.037335 
8, 8192, 8, 0.037638 
8, 8192, 9, 0.036793 
8, 8192, 10, 0.037390 
16, 1, 0, 0.000000 
16, 1, 1, 0.000000 
16, 1, 2, 0.000001 
16, 1, 3, 0.000001 
16, 1, 4, 0.000001 
16, 1, 5, 0.000001 
16, 1, 6, 0.000001 
16, 1, 7, 0.000001 
16, 1, 8, 0.000001 
16, 1, 9, 0.000002 
16, 1, 10, 0.000004 
16, 2, 0, 0.000002 
16, 2, 1, 0.000003 
16, 2, 2, 0.000002 
16, 2, 3, 0.000003 
16, 2, 4, 0.000003 
16, 2, 5, 0.000002 
16, 2, 6, 0.000002 
16, 2, 7, 0.000004 
16, 2, 8, 0.000003 
16, 2, 9, 0.000003 
16, 2, 10, 0.000005 
16, 4, 0, 0.000006 
16, 4, 1, 0.000006 
16, 4, 2, 0.000007 
16, 4, 3, 0.000006 
16, 4, 4, 0.000006 
16, 4, 5, 0.000008 
16, 4, 6, 0.000007 
16, 4, 7, 0.000006 
16, 4, 8, 0.000005 
16, 4, 9, 0.000007 
16, 4, 10, 0.000006 
16, 8, 0, 0.000007 
16, 8, 1, 0.000010 
16, 8, 2, 0.000009 
16, 8, 3, 0.000009 
16, 8, 4, 0.000011 
16, 8, 5, 0.000008 
16, 8, 6, 0.000009 
16, 8, 7, 0.000007 
16, 8, 8, 0.000005 
16, 8, 9, 0.000008 
16, 8, 10, 0.000010 
16, 16, 0, 0.000063 
16, 16, 1, 0.000063 
16, 16, 2, 0.000064 
16, 16, 3, 0.000071 
16, 16, 4, 0.000063 
16, 16, 5, 0.000065 
16, 16, 6, 0.000061 
16, 16, 7, 0.000065 
16, 16, 8, 0.000067 
16, 16, 9, 0.000062 
16, 16, 10, 0.000062 
16, 32, 0, 0.000130 
16, 32, 1, 0.000133 
16, 32, 2, 0.000123 
16, 32, 3, 0.000133 
16, 32, 4, 0.000126 
16, 32, 5, 0.000125 
16, 32, 6, 0.000127 
16, 32, 7, 0.000131 
16, 32, 8, 0.000127 
16, 32, 9, 0.000131 
16, 32, 10, 0.000129 
16, 64, 0, 0.000258 
16, 64, 1, 0.000260 
16, 64, 2, 0.000282 
16, 64, 3, 0.000260 
16, 64, 4, 0.000259 
16, 64, 5, 0.000264 
16, 64, 6, 0.000262 
16, 64, 7, 0.000262 
16, 64, 8, 0.000264 
16, 64, 9, 0.000259 
16, 64, 10, 0.000261 
16, 128, 0, 0.000518 
16, 128, 1, 0.000518 
16, 128, 2, 0.000517 
16, 128, 3, 0.000523 
16, 128, 4, 0.000515 
16, 128, 5, 0.000519 
16, 128, 6, 0.000524 
16, 128, 7, 0.000519 
16, 128, 8, 0.000518 
16, 128, 9, 0.000528 
16, 128, 10, 0.000521 
16, 256, 0, 0.001037 
16, 256, 1, 0.001040 
16, 256, 2, 0.001031 
16, 256, 3, 0.001047 
16, 256, 4, 0.001041 
16, 256, 5, 0.001030 
16, 256, 6, 0.001039 
16, 256, 7, 0.001039 
16, 256, 8, 0.001044 
16, 256, 9, 0.001049 
16, 256, 10, 0.001047 
16, 512, 0, 0.002070 
16, 512, 1, 0.002073 
16, 512, 2, 0.002078 
16, 512, 3, 0.002084 
16, 512, 4, 0.002102 
16, 512, 5, 0.002068 
16, 512, 6, 0.002675 
16, 512, 7, 0.002143 
16, 512, 8, 0.002070 
16, 512, 9, 0.002062 
16, 512, 10, 0.002051 
16, 1024, 0, 0.004029 
16, 1024, 1, 0.004039 
16, 1024, 2, 0.004024 
16, 1024, 3, 0.004028 
16, 1024, 4, 0.004058 
16, 1024, 5, 0.004072 
16, 1024, 6, 0.004022 
16, 1024, 7, 0.004011 
16, 1024, 8, 0.004036 
16, 1024, 9, 0.004012 
16, 1024, 10, 0.004036 
16, 2048, 0, 0.008925 
16, 2048, 1, 0.009020 
16, 2048, 2, 0.009060 
16, 2048, 3, 0.009098 
16, 2048, 4, 0.008882 
16, 2048, 5, 0.008526 
16, 2048, 6, 0.008992 
16, 2048, 7, 0.008874 
16, 2048, 8, 0.008907 
16, 2048, 9, 0.009136 
16, 2048, 10, 0.008926 
16, 4096, 0, 0.018705 
16, 4096, 1, 0.018643 
16, 4096, 2, 0.018714 
16, 4096, 3, 0.018577 
16, 4096, 4, 0.018746 
16, 4096, 5, 0.018360 
16, 4096, 6, 0.018865 
16, 4096, 7, 0.018743 
16, 4096, 8, 0.018738 
16, 4096, 9, 0.018468 
16, 4096, 10, 0.018603 
16, 8192, 0, 0.036919 
16, 8192, 1, 0.036935 
16, 8192, 2, 0.036775 
16, 8192, 3, 0.036946 
16, 8192, 4, 0.036935 
16, 8192, 5, 0.037139 
16, 8192, 6, 0.037113 
16, 8192, 7, 0.037196 
16, 8192, 8, 0.036808 
16, 8192, 9, 0.037145 
16, 8192, 10, 0.037107 
32, 1, 0, 0.000001 
32, 1, 1, 0.000001 
32, 1, 2, 0.000001 
32, 1, 3, 0.000001 
32, 1, 4, 0.000001 
32, 1, 5, 0.000001 
32, 1, 6, 0.000001 
32, 1, 7, 0.000001 
32, 1, 8, 0.000001 
32, 1, 9, 0.000002 
32, 1, 10, 0.000004 
32, 2, 0, 0.000002 
32, 2, 1, 0.000003 
32, 2, 2, 0.000002 
32, 2, 3, 0.000002 
32, 2, 4, 0.000002 
32, 2, 5, 0.000002 
32, 2, 6, 0.000002 
32, 2, 7, 0.000003 
32, 2, 8, 0.000002 
32, 2, 9, 0.000005 
32, 2, 10, 0.000004 
32, 4, 0, 0.000008 
32, 4, 1, 0.000006 
32, 4, 2, 0.000006 
32, 4, 3, 0.000009 
32, 4, 4, 0.000008 
32, 4, 5, 0.000007 
32, 4, 6, 0.000008 
32, 4, 7, 0.000008 
32, 4, 8, 0.000007 
32, 4, 9, 0.000005 
32, 4, 10, 0.000005 
32, 8, 0, 0.000011 
32, 8, 1, 0.000009 
32, 8, 2, 0.000005 
32, 8, 3, 0.000005 
32, 8, 4, 0.000013 
32, 8, 5, 0.000009 
32, 8, 6, 0.000010 
32, 8, 7, 0.000007 
32, 8, 8, 0.000008 
32, 8, 9, 0.000005 
32, 8, 10, 0.000008 
32, 16, 0, 0.000065 
32, 16, 1, 0.000065 
32, 16, 2, 0.000065 
32, 16, 3, 0.000067 
32, 16, 4, 0.000067 
32, 16, 5, 0.000065 
32, 16, 6, 0.000067 
32, 16, 7, 0.000063 
32, 16, 8, 0.000065 
32, 16, 9, 0.000067 
32, 16, 10, 0.000062 
32, 32, 0, 0.000123 
32, 32, 1, 0.000128 
32, 32, 2, 0.000127 
32, 32, 3, 0.000127 
32, 32, 4, 0.000120 
32, 32, 5, 0.000131 
32, 32, 6, 0.000130 
32, 32, 7, 0.000141 
32, 32, 8, 0.000124 
32, 32, 9, 0.000127 
32, 32, 10, 0.000132 
32, 64, 0, 0.000260 
32, 64, 1, 0.000262 
32, 64, 2, 0.000262 
32, 64, 3, 0.000258 
32, 64, 4, 0.000254 
32, 64, 5, 0.000266 
32, 64, 6, 0.000257 
32, 64, 7, 0.000260 
32, 64, 8, 0.000257 
32, 64, 9, 0.000258 
32, 64, 10, 0.000259 
32, 128, 0, 0.000521 
32, 128, 1, 0.000518 
32, 128, 2, 0.000514 
32, 128, 3, 0.000515 
32, 128, 4, 0.000504 
32, 128, 5, 0.000520 
32, 128, 6, 0.000516 
32, 128, 7, 0.000515 
32, 128, 8, 0.000521 
32, 128, 9, 0.000519 
32, 128, 10, 0.000519 
32, 256, 0, 0.001043 
32, 256, 1, 0.001061 
32, 256, 2, 0.001026 
32, 256, 3, 0.001034 
32, 256, 4, 0.000996 
32, 256, 5, 0.001038 
32, 256, 6, 0.001981 
32, 256, 7, 0.001026 
32, 256, 8, 0.001038 
32, 256, 9, 0.001047 
32, 256, 10, 0.001034 
32, 512, 0, 0.002064 
32, 512, 1, 0.002057 
32, 512, 2, 0.002061 
32, 512, 3, 0.002056 
32, 512, 4, 0.002062 
32, 512, 5, 0.002069 
32, 512, 6, 0.002056 
32, 512, 7, 0.002069 
32, 512, 8, 0.002052 
32, 512, 9, 0.002065 
32, 512, 10, 0.002028 
32, 1024, 0, 0.004081 
32, 1024, 1, 0.004110 
32, 1024, 2, 0.004037 
32, 1024, 3, 0.004051 
32, 1024, 4, 0.004049 
32, 1024, 5, 0.004056 
32, 1024, 6, 0.004172 
32, 1024, 7, 0.004125 
32, 1024, 8, 0.004067 
32, 1024, 9, 0.004047 
32, 1024, 10, 0.004073 
32, 2048, 0, 0.009033 
32, 2048, 1, 0.009080 
32, 2048, 2, 0.009004 
32, 2048, 3, 0.008976 
32, 2048, 4, 0.008970 
32, 2048, 5, 0.009022 
32, 2048, 6, 0.009000 
32, 2048, 7, 0.009034 
32, 2048, 8, 0.009407 
32, 2048, 9, 0.009154 
32, 2048, 10, 0.008883 
32, 4096, 0, 0.018864 
32, 4096, 1, 0.018651 
32, 4096, 2, 0.018612 
32, 4096, 3, 0.018763 
32, 4096, 4, 0.018908 
32, 4096, 5, 0.018808 
